start	end	text
0	4520	Hace varios últimos años tenemos
4520	8440	Between the
10060	14480	En raíz deANDbijanc
14480	18620	está la
18620	23640	cataria.
23640	26080	S 다양한
26080	28080	en muchos años.
28080	30080	También en los próximos años,
30080	33080	vemos a la visión de los potenciales de crecimiento
33080	35080	en varios sectores,
35080	38080	particularmente en los sectores de consumidores
38080	41080	o el sector FMCG,
41080	43080	incluyendo las industrias de producción de comida
43080	45080	y beverage.
45080	47080	En realidad, vemos el potencial de crecimiento
47080	49080	más grande para nuestras soluciones de encodimiento
49080	52080	y marcando de una perspectiva global.
52080	54080	Con esto en mente,
54080	56080	el mercado de encodimiento y marcando
56080	58080	es de la importancia estratégica más alta
58080	60080	para el livrador
60080	62080	y estamos enfocando todos nuestros esfuerzos
62080	64080	en seguir expandiendo la posición del livrador
64080	67080	y las fuerzas en este área.
67080	69080	En este contexto,
69080	70080	los investimientos significativos
70080	72080	han sido realizados en el pasado
72080	75080	y van a seguir realizando en los próximos años.
75080	77080	Esto envuelve los investimientos
77080	80080	en nuestra presencia global.
80080	84080	Mientras tenemos una subsidiaría en los Estados Unidos since 1974,
84080	86080	hemos establecido un centro de competencia
86080	89080	en China en 2022.
89080	91080	En paralelo,
91080	93080	hemos expandido nuestra red mundial
93080	95080	de compañías de negociación.
95080	97080	Estos grandes pasos fueron acompañados
97080	101080	por más investimientos en salas y marketing.
101080	103080	Estamos seguros de que solo podemos ser
103080	105080	succesivos en nuestra industria
105080	107080	si entendemos a nuestros clientes
107080	109080	los desafíos y los necesarios
109080	111080	en las diferentes aplicaciones mejor
111080	113080	que a nadie más.
113080	115080	Solo podemos darles a nuestros clientes
115080	117080	con el beneficio más alto posible.
117080	119080	Para hacer esto,
119080	121080	es el elemento que vemos
121080	123080	en las aplicaciones específicas
123080	125080	y en los desafíos en detalle.
125080	127080	En términos de una solución comprensiva
127080	129080	para el producto, coden y marcando,
129080	131080	esto también significa
131080	133080	que podemos ofer
133080	135080	alta calidad de ingres
135080	137080	para una gran cantidad de aplicaciones.
137080	139080	Y estamos succesivos en hacer esto
139080	141080	muy suficientemente.
141080	143080	En 2021,
143080	145080	hemos fortalecido
145080	147080	nuestras experiencias
147080	149080	en el área de ingeniería de ingres
149080	150080	por establecer nuestra propia
150080	152080	investigación y desarrollo
152080	155080	laboratorio en el estado de equipamiento de arte.
155080	157080	La expansión de competencia
157080	159080	también ha llevado a la adquisición
159080	161080	de solución de ingres
161080	162080	y la integración
162080	164080	en la organización o grupo.
164080	165080	Desde entonces,
165080	167080	hemos estado empujando
167080	169080	con el desarrollo más alto
169080	171080	de una gran variedad de tipos de ingres
171080	173080	especialmente para las aplicaciones desafíos.
173080	175080	Porque entendemos
175080	177080	que solo podemos lograr
177080	179080	un resultado perfecto
179080	181080	cuando tecnología y ingres
181080	183080	trabajan perfectamente.
183080	185080	Así que,
185080	186080	estamos bien posicionados
186080	187080	para darles el mejor coden
187080	189080	y marcando sistemas disponibles,
189080	190080	siempre considerando
190080	192080	la mejor solución posible
192080	194080	para nuestros clientes.
194080	195080	Y cuando digo
195080	196080	nosotros,
196080	198080	estoy hablando principalmente de vosotros,
198080	199080	nuestros compañeros de trabajo
199080	202080	y experiencias del mundo.
202080	204080	Sin tus pasos y experiencias,
204080	207080	no pudimos lograr esto.
207080	208080	Solo con vosotros
208080	210080	podemos dar máximo beneficio
210080	212080	a nuestros clientes,
212080	214080	distribuir la solución correcta
214080	215080	a los muchos desafíos
215080	218080	que veremos en el futuro.
218080	219080	Y para esto,
219080	221080	me gustaría agradecerles
221080	223080	muy sinceramente
223080	224080	por su apoyo
224080	226080	y tu colaboración
226080	228080	para tu dedicación
228080	229080	y pasión
229080	230080	en tu trabajo de día a día
230080	233080	con nuestros clientes.
233080	235080	Me gustaría agradecerles
235080	236080	a nuestros clientes
236080	237080	que nos han acompañado aquí hoy.
237080	238080	Siempre hemos ayudado
238080	240080	y apoyado a desarrollarnos más
240080	241080	más.
241080	242080	Trabajamos,
242080	244080	ofertamos tus desafíos
244080	246080	y nos permitimos
246080	249080	desarrollar nuevas soluciones.
249080	251080	Por favor, a todos mis colegas,
251080	252080	me gustaría agradecerles
252080	253080	muy mucho
253080	255080	por estas grandes colaboraciones.
255080	257080	Gracias.
271080	273080	Ladies and gentlemen,
273080	274080	como pueden ver,
274080	276080	no tendríamos ni idea
276080	277080	si nos justizamos
277080	278080	y nos congratulamos
278080	279080	a nosotros
279080	281080	en nuestros sucesos.
281080	282080	En cooperación
282080	283080	con nuestros compañeros
283080	285080	y en una coordinación
285080	286080	con los clientes,
286080	287080	nuestros expertos
287080	288080	han intensivamente
288080	289080	explorado
289080	290080	los trens significativos
290080	291080	que forman
291080	292080	el futuro
292080	294080	de la industria de packaging
294080	297080	y la manufacturación de los productos.
297080	298080	Como nos progresamos
298080	299080	durante el XXI.
299080	300080	Centro,
300080	301080	estamos creciendo
301080	302080	un demando más
302080	304080	para las soluciones
304080	305080	de la packaging.
305080	307080	El riesgo de automación
307080	308080	y digitalización
308080	310080	y procesos de producción.
310080	311080	Y el impacto
311080	313080	de las escuelas laborales
313080	315080	en nuestras industrias.
315080	316080	Los manufacturadores
316080	317080	ahora investen
317080	319080	en materiales innovativos
319080	320080	y están enfocando
320080	321080	en reducir
321080	322080	sus colegas
322080	323080	para los precios
323080	324080	para los demandos
324080	326080	evolucionados.
326080	327080	Primero
327080	328080	y foremost,
328080	329080	el tren
329080	330080	contra la sustanibilidad
330080	331080	se ha convertido
331080	334080	en un aspecto indispensable.
334080	335080	Consumores
335080	336080	y empresas
336080	337080	alike
337080	338080	están empujando
338080	340080	para materiales ecofriendos,
340080	341080	packaging
341080	342080	recyclable
342080	344080	y la reducción en el peso.
344080	345080	Este riesgo
345080	346080	se ha convertido
346080	347080	no solo
347080	349080	en conservencias mentales
349080	350080	pero también
350080	351080	por las presiones
351080	352080	regulatorias
352080	353080	y el avance
353080	354080	de los impactos
354080	355080	de nuestras acciones
355080	357080	en el planeta.
357080	358080	Más sobre,
358080	359080	automación
359080	361080	y digitalización
361080	363080	están revolucionando
363080	365080	la landscapes de producción,
365080	367080	operaciones
